#gid	GOTERM_BP_FAT	GOTERM_CC_FAT	GOTERM_MF_FAT	INTERPRO	KEGG_PATHWAY
ENSG00000143125	GO:0045859~regulation of protein kinase activity;GO:0042325~regulation of phosphorylation;GO:0051347~positive regulation of transferase activity;GO:0045765~regulation of angiogenesis;GO:0001944~vasculature development;GO:0051174~regulation of phosphorus metabolic process;GO:0045860~positive regulation of protein kinase activity;GO:0051338~regulation of transferase activity;GO:0043085~positive regulation of catalytic activity;GO:0001568~blood vessel development;GO:0008284~positive regulation of cell proliferation;GO:0001525~angiogenesis;GO:0048514~blood vessel morphogenesis;GO:0019220~regulation of phosphate metabolic process;GO:0044093~positive regulation of molecular function;GO:0042127~regulation of cell proliferation;GO:0043549~regulation of kinase activity;GO:0033674~positive regulation of kinase activity	GO:0005576~extracellular region	GO:0008083~growth factor activity	NA	NA
ENSG00000070404	GO:0009968~negative regulation of signal transduction	GO:0031982~vesicle;GO:0030141~secretory granule;GO:0031410~cytoplasmic vesicle;GO:0031988~membrane-bounded vesicle;GO:0005576~extracellular region;GO:0005615~extracellular space;GO:0044421~extracellular region part;GO:0016023~cytoplasmic membrane-bounded vesicle	GO:0032403~protein complex binding	NA	NA
ENSG00000139304	GO:0048568~embryonic organ development	NA	NA	IPR008957:Fibronectin, type III-like fold;IPR003961:Fibronectin, type III	NA
ENSG00000135763	NA	GO:0005730~nucleolus	NA	NA	NA
ENSG00000182885	NA	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000181026	GO:0010212~response to ionizing radiation;GO:0012501~programmed cell death;GO:0009314~response to radiation;GO:0009628~response to abiotic stimulus;GO:0008629~induction of apoptosis by intracellular signals;GO:0042981~regulation of apoptosis;GO:0008630~DNA damage response, signal transduction resulting in induction of apoptosis;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0016265~death;GO:0043067~regulation of programmed cell death;GO:0043065~positive regulation of apoptosis;GO:0010942~positive regulation of cell death	GO:0005730~nucleolus	NA	NA	NA
ENSG00000168032	NA	GO:0005886~plasma membrane	GO:0005509~calcium ion binding	NA	NA
ENSG00000177098	NA	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	IPR013783:Immunoglobulin-like fold;IPR003599:Immunoglobulin subtype	NA
ENSG00000197635	GO:0001666~response to hypoxia;GO:0070482~response to oxygen levels	GO:0005886~plasma membrane;GO:0009986~cell surface;GO:0005625~soluble fraction;GO:0005576~extracellular region;GO:0044459~plasma membrane part	GO:0005518~collagen binding;GO:0046983~protein dimerization activity;GO:0042803~protein homodimerization activity;GO:0042277~peptide binding	NA	NA
ENSG00000179388	GO:0048511~rhythmic process;GO:0007517~muscle organ development	NA	GO:0003700~transcription factor activity	NA	NA
ENSG00000148773	GO:0008283~cell proliferation;GO:0022403~cell cycle phase	GO:0005730~nucleolus	NA	NA	NA
ENSG00000166197	GO:0022403~cell cycle phase	GO:0005730~nucleolus	NA	NA	NA
ENSG00000132205	GO:0007155~cell adhesion;GO:0022610~biological adhesion	GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	NA	NA
ENSG00000173432	GO:0050727~regulation of inflammatory response;GO:0048246~macrophage chemotaxis;GO:0007626~locomotory behavior;GO:0009611~response to wounding;GO:0060326~cell chemotaxis;GO:0006953~acute-phase response;GO:0030595~leukocyte chemotaxis;GO:0001817~regulation of cytokine production;GO:0006873~cellular ion homeostasis;GO:0006874~cellular calcium ion homeostasis;GO:0050801~ion homeostasis;GO:0030003~cellular cation homeostasis;GO:0019725~cellular homeostasis;GO:0055080~cation homeostasis;GO:0055065~metal ion homeostasis;GO:0055066~di-, tri-valent inorganic cation homeostasis;GO:0030005~cellular di-, tri-valent inorganic cation homeostasis;GO:0050878~regulation of body fluid levels;GO:0051240~positive regulation of multicellular organismal process;GO:0042592~homeostatic process;GO:0001819~positive regulation of cytokine production;GO:0050900~leukocyte migration;GO:0042330~taxis;GO:0051674~localization of cell;GO:0006935~chemotaxis;GO:0006928~cell motion;GO:0006952~defense response;GO:0002526~acute inflammatory response;GO:0050817~coagulation;GO:0055074~calcium ion homeostasis;GO:0048870~cell motility;GO:0006954~inflammatory response;GO:0006875~cellular metal ion homeostasis;GO:0007599~hemostasis;GO:0007204~elevation of cytosolic calcium ion concentration;GO:0055082~cellular chemical homeostasis;GO:0048878~chemical homeostasis;GO:0016477~cell migration;GO:0042060~wound healing;GO:0032101~regulation of response to external stimulus;GO:0007596~blood coagulation	GO:0034358~plasma lipoprotein particle;GO:0005615~extracellular space;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0032994~protein-lipid complex	NA	NA	NA
ENSG00000149090	NA	GO:0005576~extracellular region	NA	IPR000436:Sushi/SCR/CCP;IPR013032:EGF-like region, conserved site;IPR006210:EGF-like;IPR006209:EGF;IPR016060:Complement control module;IPR000742:EGF-like, type 3	NA
ENSG00000082397	GO:0030036~actin cytoskeleton organization;GO:0030029~actin filament-based process;GO:0007010~cytoskeleton organization	GO:0005886~plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000102445	GO:0051174~regulation of phosphorus metabolic process;GO:0019220~regulation of phosphate metabolic process	NA	NA	NA	NA
ENSG00000164318	GO:0043062~extracellular structure organization;GO:0030198~extracellular matrix organization	GO:0005886~plasma membrane;GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0044459~plasma membrane part	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	IPR013032:EGF-like region, conserved site;IPR006210:EGF-like;IPR006209:EGF;IPR008957:Fibronectin, type III-like fold;IPR003961:Fibronectin, type III;IPR000742:EGF-like, type 3	NA
ENSG00000115963	GO:0030036~actin cytoskeleton organization;GO:0030029~actin filament-based process;GO:0007010~cytoskeleton organization;GO:0007155~cell adhesion;GO:0022610~biological adhesion	NA	NA	NA	NA
ENSG00000165732	NA	GO:0005730~nucleolus	NA	NA	NA
ENSG00000186407	GO:0006955~immune response	GO:0005886~plasma membrane	NA	IPR013783:Immunoglobulin-like fold;IPR003599:Immunoglobulin subtype	NA
ENSG00000182782	GO:0012501~programmed cell death;GO:0042981~regulation of apoptosis;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0042592~homeostatic process;GO:0016265~death;GO:0043067~regulation of programmed cell death;GO:0043065~positive regulation of apoptosis;GO:0010942~positive regulation of cell death	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000127533	GO:0050878~regulation of body fluid levels;GO:0007599~hemostasis;GO:0042060~wound healing;GO:0050817~coagulation;GO:0044093~positive regulation of molecular function;GO:0043085~positive regulation of catalytic activity;GO:0009611~response to wounding;GO:0007596~blood coagulation	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0005576~extracellular region;GO:0044459~plasma membrane part	GO:0008528~peptide receptor activity, G-protein coupled;GO:0042277~peptide binding;GO:0001653~peptide receptor activity	NA	NA
ENSG00000128591	NA	GO:0005886~plasma membrane;GO:0030016~myofibril	NA	IPR013783:Immunoglobulin-like fold	hsa04010:MAPK signaling pathway
ENSG00000106483	GO:0007565~female pregnancy	GO:0005615~extracellular space;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	NA	NA
ENSG00000134531	GO:0032535~regulation of cellular component size;GO:0008283~cell proliferation;GO:0008361~regulation of cell size	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000108551	NA	GO:0005886~plasma membrane;GO:0005625~soluble fraction;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000124212	GO:0046394~carboxylic acid biosynthetic process;GO:0016053~organic acid biosynthetic process;GO:0042981~regulation of apoptosis;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0006690~icosanoid metabolic process;GO:0043067~regulation of programmed cell death;GO:0043065~positive regulation of apoptosis;GO:0010942~positive regulation of cell death	NA	NA	NA	NA
ENSG00000166473	NA	NA	GO:0030246~carbohydrate binding;GO:0005509~calcium ion binding	IPR018378:C-type lectin, conserved site;IPR001304:C-type lectin	NA
ENSG00000175592	GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0051412~response to corticosterone stimulus;GO:0007626~locomotory behavior;GO:0051591~response to cAMP;GO:0042981~regulation of apoptosis;GO:0034097~response to cytokine stimulus;GO:0014070~response to organic cyclic substance;GO:0043065~positive regulation of apoptosis;GO:0043067~regulation of programmed cell death;GO:0008284~positive regulation of cell proliferation;GO:0051726~regulation of cell cycle;GO:0031668~cellular response to extracellular stimulus;GO:0008285~negative regulation of cell proliferation;GO:0009991~response to extracellular stimulus;GO:0010033~response to organic substance;GO:0048545~response to steroid hormone stimulus;GO:0042330~taxis;GO:0006935~chemotaxis;GO:0051384~response to glucocorticoid stimulus;GO:0006952~defense response;GO:0007565~female pregnancy;GO:0010942~positive regulation of cell death;GO:0032570~response to progesterone stimulus;GO:0009725~response to hormone stimulus;GO:0009628~response to abiotic stimulus;GO:0045787~positive regulation of cell cycle;GO:0045896~regulation of transcription, mitotic;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0042493~response to drug;GO:0031960~response to corticosteroid stimulus;GO:0009719~response to endogenous stimulus;GO:0042127~regulation of cell proliferation;GO:0051385~response to mineralocorticoid stimulus	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor;IPR011616:bZIP transcription factor, bZIP-1;IPR000837:Fos transforming protein	NA
ENSG00000123610	GO:0007155~cell adhesion;GO:0006952~defense response;GO:0009611~response to wounding;GO:0022610~biological adhesion;GO:0006954~inflammatory response	NA	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0005540~hyaluronic acid binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	IPR000538:Link	NA
ENSG00000170421	GO:0007010~cytoskeleton organization;GO:0012501~programmed cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0016265~death	GO:0005886~plasma membrane;GO:0030016~myofibril	NA	NA	NA
ENSG00000067048	NA	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000177363	NA	NA	NA	IPR008957:Fibronectin, type III-like fold;IPR003961:Fibronectin, type III	NA
ENSG00000164932	GO:0016477~cell migration;GO:0006928~cell motion;GO:0048870~cell motility;GO:0051674~localization of cell	GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	NA	NA
ENSG00000178878	GO:0001666~response to hypoxia;GO:0001944~vasculature development;GO:0001525~angiogenesis;GO:0048514~blood vessel morphogenesis;GO:0070482~response to oxygen levels;GO:0001568~blood vessel development	GO:0005886~plasma membrane;GO:0005576~extracellular region	NA	NA	NA
ENSG00000198502	GO:0006955~immune response	GO:0005886~plasma membrane;GO:0044459~plasma membrane part	NA	IPR013783:Immunoglobulin-like fold	hsa04640:Hematopoietic cell lineage
ENSG00000115607	GO:0006952~defense response;GO:0045087~innate immune response;GO:0006955~immune response;GO:0009611~response to wounding;GO:0006954~inflammatory response	NA	NA	IPR004075:Interleukin-1 receptor, type I/Toll precursor;IPR015621:Interleukin-1 receptor;IPR013783:Immunoglobulin-like fold;IPR003599:Immunoglobulin subtype	hsa04060:Cytokine-cytokine receptor interaction
ENSG00000100292	GO:0051270~regulation of cell motion;GO:0043627~response to estrogen stimulus;GO:0009611~response to wounding;GO:0030334~regulation of cell migration;GO:0042981~regulation of apoptosis;GO:0008630~DNA damage response, signal transduction resulting in induction of apoptosis;GO:0001666~response to hypoxia;GO:0001944~vasculature development;GO:0050865~regulation of cell activation;GO:0001817~regulation of cytokine production;GO:0014070~response to organic cyclic substance;GO:0002246~healing during inflammatory response;GO:0043065~positive regulation of apoptosis;GO:0043067~regulation of programmed cell death;GO:0001568~blood vessel development;GO:0050801~ion homeostasis;GO:0055080~cation homeostasis;GO:0008629~induction of apoptosis by intracellular signals;GO:0008283~cell proliferation;GO:0001525~angiogenesis;GO:0055066~di-, tri-valent inorganic cation homeostasis;GO:0043066~negative regulation of apoptosis;GO:0048514~blood vessel morphogenesis;GO:0031668~cellular response to extracellular stimulus;GO:0040013~negative regulation of locomotion;GO:0030336~negative regulation of cell migration;GO:0031667~response to nutrient levels;GO:0003013~circulatory system process;GO:0008219~cell death;GO:0051240~positive regulation of multicellular organismal process;GO:0042592~homeostatic process;GO:0008285~negative regulation of cell proliferation;GO:0016265~death;GO:0009991~response to extracellular stimulus;GO:0060548~negative regulation of cell death;GO:0070482~response to oxygen levels;GO:0043069~negative regulation of programmed cell death;GO:0010033~response to organic substance;GO:0048545~response to steroid hormone stimulus;GO:0045765~regulation of angiogenesis;GO:0034381~lipoprotein particle clearance;GO:0006952~defense response;GO:0055072~iron ion homeostasis;GO:0010942~positive regulation of cell death;GO:0006954~inflammatory response;GO:0008015~blood circulation;GO:0051271~negative regulation of cell motion;GO:0007584~response to nutrient;GO:0009725~response to hormone stimulus;GO:0048878~chemical homeostasis;GO:0043068~positive regulation of programmed cell death;GO:0040012~regulation of locomotion;GO:0010941~regulation of cell death;GO:0042060~wound healing;GO:0034383~low-density lipoprotein particle clearance;GO:0009719~response to endogenous stimulus;GO:0042127~regulation of cell proliferation	GO:0005886~plasma membrane;GO:0005615~extracellular space;GO:0005730~nucleolus;GO:0045121~membrane raft;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000092621	GO:0046394~carboxylic acid biosynthetic process;GO:0016053~organic acid biosynthetic process	NA	NA	NA	NA
ENSG00000134548	NA	GO:0031982~vesicle;GO:0030141~secretory granule;GO:0031410~cytoplasmic vesicle;GO:0005730~nucleolus;GO:0031988~membrane-bounded vesicle;GO:0005576~extracellular region;GO:0016023~cytoplasmic membrane-bounded vesicle	NA	NA	NA
ENSG00000138135	GO:0046394~carboxylic acid biosynthetic process;GO:0016053~organic acid biosynthetic process	NA	NA	NA	NA
ENSG00000152785	GO:0001501~skeletal system development;GO:0045944~positive regulation of transcription from RNA polymerase II promoter	GO:0005615~extracellular space;GO:0031982~vesicle;GO:0031988~membrane-bounded vesicle;GO:0005576~extracellular region;GO:0044421~extracellular region part	GO:0008083~growth factor activity	NA	NA
ENSG00000159216	GO:0045765~regulation of angiogenesis;GO:0045944~positive regulation of transcription from RNA polymerase II promoter;GO:0045596~negative regulation of cell differentiation;GO:0045597~positive regulation of cell differentiation;GO:0045766~positive regulation of angiogenesis;GO:0051094~positive regulation of developmental process	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0042803~protein homodimerization activity;GO:0005509~calcium ion binding	NA	hsa05220:Chronic myeloid leukemia
ENSG00000183484	GO:0051329~interphase of mitotic cell cycle;GO:0022403~cell cycle phase;GO:0051325~interphase;GO:0000082~G1/S transition of mitotic cell cycle	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000156427	GO:0008284~positive regulation of cell proliferation;GO:0001525~angiogenesis;GO:0048514~blood vessel morphogenesis;GO:0048705~skeletal system morphogenesis;GO:0001944~vasculature development;GO:0001501~skeletal system development;GO:0042127~regulation of cell proliferation;GO:0001568~blood vessel development	GO:0005615~extracellular space;GO:0005730~nucleolus;GO:0005576~extracellular region;GO:0044421~extracellular region part	GO:0008083~growth factor activity	NA	hsa04010:MAPK signaling pathway
ENSG00000122861	GO:0007626~locomotory behavior;GO:0009611~response to wounding;GO:0042330~taxis;GO:0006935~chemotaxis;GO:0051674~localization of cell;GO:0001666~response to hypoxia;GO:0001944~vasculature development;GO:0006928~cell motion;GO:0050817~coagulation;GO:0007565~female pregnancy;GO:0048870~cell motility;GO:0001568~blood vessel development;GO:0007599~hemostasis;GO:0001525~angiogenesis;GO:0048514~blood vessel morphogenesis;GO:0050878~regulation of body fluid levels;GO:0016477~cell migration;GO:0031099~regeneration;GO:0042060~wound healing;GO:0032101~regulation of response to external stimulus;GO:0042127~regulation of cell proliferation;GO:0070482~response to oxygen levels;GO:0007596~blood coagulation	GO:0005886~plasma membrane;GO:0005576~extracellular region	NA	IPR013032:EGF-like region, conserved site;IPR006210:EGF-like;IPR000742:EGF-like, type 3	hsa04610:Complement and coagulation cascades
ENSG00000038427	GO:0007155~cell adhesion;GO:0009611~response to wounding;GO:0051674~localization of cell;GO:0016477~cell migration;GO:0031099~regeneration;GO:0006928~cell motion;GO:0048870~cell motility;GO:0022610~biological adhesion	GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0005540~hyaluronic acid binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding;GO:0005509~calcium ion binding	IPR000436:Sushi/SCR/CCP;IPR018378:C-type lectin, conserved site;IPR006210:EGF-like;IPR016186:C-type lectin-like;IPR001881:EGF-like calcium-binding;IPR003599:Immunoglobulin subtype;IPR000742:EGF-like, type 3;IPR018097:EGF-like calcium-binding, conserved site;IPR013032:EGF-like region, conserved site;IPR006209:EGF;IPR001304:C-type lectin;IPR016060:Complement control module;IPR000538:Link;IPR013783:Immunoglobulin-like fold	NA
ENSG00000166106	NA	GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	NA	IPR010294:ADAM-TS Spacer 1;IPR006025:Peptidase M, neutral zinc metallopeptidases, zinc-binding site;IPR013273:Peptidase M12B, ADAM-TS;IPR001818:Peptidase M10A and M12B, matrixin and adamalysin;IPR000884:Thrombospondin, type 1 repeat	NA
ENSG00000100985	GO:0051270~regulation of cell motion;GO:0044236~multicellular organismal metabolic process;GO:0040017~positive regulation of locomotion;GO:0030334~regulation of cell migration;GO:0042981~regulation of apoptosis;GO:0051272~positive regulation of cell motion;GO:0030335~positive regulation of cell migration;GO:0043065~positive regulation of apoptosis;GO:0043067~regulation of programmed cell death;GO:0010942~positive regulation of cell death;GO:0030198~extracellular matrix organization;GO:0040012~regulation of locomotion;GO:0043068~positive regulation of programmed cell death;GO:0001501~skeletal system development;GO:0010941~regulation of cell death;GO:0032963~collagen metabolic process;GO:0043062~extracellular structure organization	GO:0005615~extracellular space;GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	GO:0005518~collagen binding;GO:0005509~calcium ion binding	IPR006025:Peptidase M, neutral zinc metallopeptidases, zinc-binding site;IPR001818:Peptidase M10A and M12B, matrixin and adamalysin	NA
ENSG00000144136	NA	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000164023	NA	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000132334	NA	GO:0005886~plasma membrane	GO:0046983~protein dimerization activity;GO:0042803~protein homodimerization activity	NA	NA
ENSG00000139514	NA	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0044459~plasma membrane part	NA	NA	NA
ENSG00000168079	GO:0050801~ion homeostasis;GO:0030003~cellular cation homeostasis;GO:0019725~cellular homeostasis;GO:0055080~cation homeostasis;GO:0009628~response to abiotic stimulus;GO:0055082~cellular chemical homeostasis;GO:0055066~di-, tri-valent inorganic cation homeostasis;GO:0048878~chemical homeostasis;GO:0030005~cellular di-, tri-valent inorganic cation homeostasis;GO:0006879~cellular iron ion homeostasis;GO:0042592~homeostatic process;GO:0006873~cellular ion homeostasis;GO:0055072~iron ion homeostasis;GO:0006826~iron ion transport	GO:0005886~plasma membrane;GO:0031226~intrinsic to plasma membrane;GO:0005887~integral to plasma membrane;GO:0009986~cell surface;GO:0044459~plasma membrane part	GO:0005044~scavenger receptor activity	IPR017448:Speract/scavenger receptor related;IPR001190:Speract/scavenger receptor	NA
ENSG00000146592	NA	NA	GO:0046983~protein dimerization activity;GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR004827:Basic-leucine zipper (bZIP) transcription factor;IPR011616:bZIP transcription factor, bZIP-1	NA
ENSG00000167553	GO:0051258~protein polymerization	NA	NA	NA	NA
ENSG00000026508	GO:0010033~response to organic substance;GO:0033189~response to vitamin A;GO:0009611~response to wounding;GO:0042981~regulation of apoptosis;GO:0051674~localization of cell;GO:0001944~vasculature development;GO:0006928~cell motion;GO:0006952~defense response;GO:0014070~response to organic cyclic substance;GO:0002246~healing during inflammatory response;GO:0043065~positive regulation of apoptosis;GO:0043067~regulation of programmed cell death;GO:0010942~positive regulation of cell death;GO:0006954~inflammatory response;GO:0001568~blood vessel development;GO:0048870~cell motility;GO:0007584~response to nutrient;GO:0007155~cell adhesion;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0016477~cell migration;GO:0033273~response to vitamin;GO:0031667~response to nutrient levels;GO:0040008~regulation of growth;GO:0042060~wound healing;GO:0001558~regulation of cell growth;GO:0009991~response to extracellular stimulus;GO:0022610~biological adhesion	GO:0005887~integral to plasma membrane;GO:0031012~extracellular matrix;GO:0005576~extracellular region;GO:0016323~basolateral plasma membrane;GO:0044459~plasma membrane part;GO:0031226~intrinsic to plasma membrane;GO:0005886~plasma membrane;GO:0044421~extracellular region part;GO:0009986~cell surface	GO:0005518~collagen binding;GO:0030246~carbohydrate binding;GO:0005539~glycosaminoglycan binding;GO:0005540~hyaluronic acid binding;GO:0030247~polysaccharide binding;GO:0001871~pattern binding	IPR016186:C-type lectin-like;IPR000538:Link	hsa04512:ECM-receptor interaction;hsa04640:Hematopoietic cell lineage
ENSG00000163874	GO:0001944~vasculature development;GO:0012501~programmed cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0016265~death;GO:0001525~angiogenesis;GO:0048514~blood vessel morphogenesis;GO:0001568~blood vessel development	NA	NA	NA	NA
ENSG00000122694	NA	GO:0005576~extracellular region	NA	NA	NA
ENSG00000197747	NA	NA	GO:0005509~calcium ion binding	NA	NA
ENSG00000157557	GO:0001501~skeletal system development	NA	GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	NA	NA
ENSG00000163815	GO:0001501~skeletal system development	GO:0005576~extracellular region	GO:0030246~carbohydrate binding	IPR018378:C-type lectin, conserved site;IPR001304:C-type lectin;IPR016186:C-type lectin-like	NA
ENSG00000144476	NA	GO:0005886~plasma membrane	NA	NA	NA
ENSG00000064205	GO:0040008~regulation of growth;GO:0007155~cell adhesion;GO:0008285~negative regulation of cell proliferation;GO:0001558~regulation of cell growth;GO:0042127~regulation of cell proliferation;GO:0022610~biological adhesion	GO:0005886~plasma membrane;GO:0009986~cell surface;GO:0005625~soluble fraction;GO:0005576~extracellular region	GO:0019838~growth factor binding;GO:0005520~insulin-like growth factor binding	IPR000867:Insulin-like growth factor-binding protein, IGFBP;IPR017891:Insulin-like growth factor binding protein, N-terminal;IPR000884:Thrombospondin, type 1 repeat	NA
ENSG00000139329	GO:0043062~extracellular structure organization;GO:0030198~extracellular matrix organization	GO:0031012~extracellular matrix;GO:0005578~proteinaceous extracellular matrix;GO:0005576~extracellular region;GO:0044421~extracellular region part	GO:0005518~collagen binding	NA	NA
ENSG00000135047	NA	GO:0005625~soluble fraction;GO:0005576~extracellular region	GO:0042277~peptide binding	NA	NA
ENSG00000142669	GO:0019725~cellular homeostasis;GO:0042592~homeostatic process	NA	NA	NA	NA
ENSG00000112977	GO:0012501~programmed cell death;GO:0042981~regulation of apoptosis;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0008219~cell death;GO:0006915~apoptosis;GO:0016265~death;GO:0043067~regulation of programmed cell death;GO:0043065~positive regulation of apoptosis;GO:0010942~positive regulation of cell death	NA	NA	NA	NA
ENSG00000158683	GO:0007155~cell adhesion;GO:0022610~biological adhesion	NA	NA	NA	NA
ENSG00000183878	NA	GO:0005730~nucleolus	NA	NA	NA
ENSG00000163565	GO:0008629~induction of apoptosis by intracellular signals;GO:0008283~cell proliferation;GO:0042981~regulation of apoptosis;GO:0008630~DNA damage response, signal transduction resulting in induction of apoptosis;GO:0043068~positive regulation of programmed cell death;GO:0010941~regulation of cell death;GO:0043067~regulation of programmed cell death;GO:0043065~positive regulation of apoptosis;GO:0010942~positive regulation of cell death	GO:0005730~nucleolus	NA	NA	NA
ENSG00000007908	GO:0010033~response to organic substance;GO:0030029~actin filament-based process;GO:0050727~regulation of inflammatory response;GO:0050900~leukocyte migration;GO:0009611~response to wounding;GO:0007157~heterophilic cell adhesion;GO:0051674~localization of cell;GO:0034097~response to cytokine stimulus;GO:0006952~defense response;GO:0006928~cell motion;GO:0043085~positive regulation of catalytic activity;GO:0009617~response to bacterium;GO:0032496~response to lipopolysaccharide;GO:0006954~inflammatory response;GO:0048870~cell motility;GO:0007155~cell adhesion;GO:0016477~cell migration;GO:0032101~regulation of response to external stimulus;GO:0002237~response to molecule of bacterial origin;GO:0044093~positive regulation of molecular function;GO:0022610~biological adhesion	GO:0005886~plasma membrane;GO:0005615~extracellular space;GO:0045121~membrane raft;GO:0005576~extracellular region;GO:0044421~extracellular region part;GO:0044459~plasma membrane part	GO:0030246~carbohydrate binding	IPR000436:Sushi/SCR/CCP;IPR018378:C-type lectin, conserved site;IPR006210:EGF-like;IPR016186:C-type lectin-like;IPR000742:EGF-like, type 3;IPR013032:EGF-like region, conserved site;IPR006209:EGF;IPR016060:Complement control module;IPR001304:C-type lectin	NA
ENSG00000101096	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	NA	GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	IPR000451:NF-kappa-B/Rel/dorsal;IPR011539:Rel homology;IPR013783:Immunoglobulin-like fold	hsa04010:MAPK signaling pathway
ENSG00000007237	GO:0030036~actin cytoskeleton organization;GO:0030029~actin filament-based process;GO:0008360~regulation of cell shape;GO:0007010~cytoskeleton organization;GO:0022604~regulation of cell morphogenesis;GO:0007015~actin filament organization;GO:0051258~protein polymerization	NA	GO:0003700~transcription factor activity	NA	NA
ENSG00000132326	GO:0048511~rhythmic process	NA	NA	NA	NA
ENSG00000163132	GO:0010033~response to organic substance;GO:0043066~negative regulation of apoptosis;GO:0042981~regulation of apoptosis;GO:0007517~muscle organ development;GO:0010941~regulation of cell death;GO:0001501~skeletal system development;GO:0008285~negative regulation of cell proliferation;GO:0042127~regulation of cell proliferation;GO:0043067~regulation of programmed cell death;GO:0060548~negative regulation of cell death;GO:0043069~negative regulation of programmed cell death	NA	GO:0003700~transcription factor activity;GO:0043565~sequence-specific DNA binding	NA	NA
ENSG00000142227	GO:0032535~regulation of cellular component size;GO:0008285~negative regulation of cell proliferation;GO:0008361~regulation of cell size;GO:0042127~regulation of cell proliferation	NA	NA	NA	NA
